load,tau_ms,cv,baseline,pairs,mean_delta_pp,ci95_low_pp,ci95_high_pp,p_value,holm_p_value_global_162
0.4,0.0,0.5,DA-BALS-FixedMargin,30,3.568463474548524,3.110637263737282,4.026289685359766,6.918170982586276e-16,9.685439375620787e-14
0.4,0.0,0.5,DA-BALS-Adaptive,30,1.8832004719298576,1.3453977140849722,2.421003229774743,6.980652733070999e-08,6.073167877771769e-06
0.4,0.0,1.0,DA-BALS-NoMargin,30,-0.30445985624060323,-0.4493017075768713,-0.15961800490433514,0.00017664658113965978,0.009185622219262309
0.4,0.0,1.0,DA-BALS-FixedMargin,30,3.133495038294518,2.634797191355294,3.632192885233742,1.685073106703757e-13,2.156893576580809e-11
0.4,0.0,1.0,DA-BALS-Adaptive,30,6.3037758176590275,3.447238740726916,9.16031289459114,9.784559285831109e-05,0.00538150760720711
0.4,10.0,0.0,DA-BALS-NoMargin,30,-0.08507893382437952,-0.17408312459566655,0.003925256946907527,0.06027873482080995,1.0
0.4,10.0,0.0,DA-BALS-FixedMargin,30,4.158454525561465,3.682556341101902,4.634352710021028,3.384098749012677e-17,4.974625161048635e-15
0.4,10.0,0.0,DA-BALS-Adaptive,30,0.9632189684114701,0.66565640470684,1.2607815321161002,2.948734506310972e-07,2.3589876050487775e-05
0.4,10.0,0.5,DA-BALS-NoMargin,30,-0.12381455229485804,-0.2734459867291945,0.025816882139478428,0.10129765541139021,1.0
0.4,10.0,0.5,DA-BALS-FixedMargin,30,3.568463474548524,3.110637263737282,4.026289685359766,6.918170982586276e-16,9.685439375620787e-14
0.4,10.0,0.5,DA-BALS-Adaptive,30,1.8498671385965244,1.295628549340219,2.40410572785283,1.698463025909526e-07,1.3927396812458113e-05
0.4,10.0,1.0,DA-BALS-NoMargin,30,-0.3567702510209704,-0.5217079207752101,-0.19183258126673067,0.00012525598941153112,0.00676382342822268
0.4,10.0,1.0,DA-BALS-FixedMargin,30,2.959786499732046,2.4677686876594747,3.4518043118046178,4.929010320405548e-13,6.11197279730288e-11
0.4,10.0,1.0,DA-BALS-Adaptive,30,6.612499216261456,3.7707415127509156,9.454256919771996,4.9540477878970814e-05,0.002873347716980307
0.4,50.0,0.0,DA-BALS-NoMargin,30,-0.08507893382437952,-0.17408312459566655,0.003925256946907527,0.06027873482080995,1.0
