seed,load,tau_ms,cv,policy,requests,on_time_fraction_pct,late_fraction_pct,shed_fraction_pct,normalized_network_waste
200,0.2,0.0,0.0,DA-BALS-NoMargin,105,94.28571428571428,1.9047619047619049,3.8095238095238098,0.0
200,0.2,0.0,0.0,DA-BALS-FixedMargin,105,89.52380952380953,0.0,10.476190476190476,0.0
200,0.2,0.0,0.0,DA-BALS-Adaptive,105,92.38095238095238,0.9523809523809524,6.666666666666667,0.0
200,0.2,0.0,0.0,DA-BALS-Stabilized,105,94.28571428571428,1.9047619047619049,3.8095238095238098,0.0
200,0.2,0.0,0.5,DA-BALS-NoMargin,105,96.19047619047619,0.0,3.8095238095238098,0.0
200,0.2,0.0,0.5,DA-BALS-FixedMargin,105,89.52380952380953,0.0,10.476190476190476,0.0
200,0.2,0.0,0.5,DA-BALS-Adaptive,105,94.28571428571428,0.0,5.714285714285714,0.0
200,0.2,0.0,0.5,DA-BALS-Stabilized,105,96.19047619047619,0.0,3.8095238095238098,0.0
200,0.2,0.0,1.0,DA-BALS-NoMargin,105,93.33333333333333,1.9047619047619049,4.761904761904762,0.0
200,0.2,0.0,1.0,DA-BALS-FixedMargin,105,88.57142857142857,0.9523809523809524,10.476190476190476,0.0
200,0.2,0.0,1.0,DA-BALS-Adaptive,105,87.61904761904762,0.9523809523809524,11.428571428571429,0.0
200,0.2,0.0,1.0,DA-BALS-Stabilized,105,93.33333333333333,1.9047619047619049,4.761904761904762,0.0
200,0.2,10.0,0.0,DA-BALS-NoMargin,105,94.28571428571428,1.9047619047619049,3.8095238095238098,0.0
200,0.2,10.0,0.0,DA-BALS-FixedMargin,105,89.52380952380953,0.0,10.476190476190476,0.0
200,0.2,10.0,0.0,DA-BALS-Adaptive,105,92.38095238095238,0.9523809523809524,6.666666666666667,0.0
200,0.2,10.0,0.0,DA-BALS-Stabilized,105,94.28571428571428,1.9047619047619049,3.8095238095238098,0.0
200,0.2,10.0,0.5,DA-BALS-NoMargin,105,96.19047619047619,0.0,3.8095238095238098,0.0
200,0.2,10.0,0.5,DA-BALS-FixedMargin,105,89.52380952380953,0.0,10.476190476190476,0.0
200,0.2,10.0,0.5,DA-BALS-Adaptive,105,94.28571428571428,0.0,5.714285714285714,0.0
200,0.2,10.0,0.5,DA-BALS-Stabilized,105,96.19047619047619,0.0,3.8095238095238098,0.0
200,0.2,10.0,1.0,DA-BALS-NoMargin,105,93.33333333333333,2.857142857142857,3.8095238095238098,0.0
200,0.2,10.0,1.0,DA-BALS-FixedMargin,105,88.57142857142857,0.9523809523809524,10.476190476190476,0.0
200,0.2,10.0,1.0,DA-BALS-Adaptive,105,88.57142857142857,1.9047619047619049,9.523809523809524,0.0
200,0.2,10.0,1.0,DA-BALS-Stabilized,105,93.33333333333333,2.857142857142857,3.8095238095238098,0.0
200,0.2,50.0,0.0,DA-BALS-NoMargin,105,94.28571428571428,1.9047619047619049,3.8095238095238098,0.0
200,0.2,50.0,0.0,DA-BALS-FixedMargin,105,89.52380952380953,0.0,10.476190476190476,0.0
