seed,load,tau_ms,cv,policy,requests,on_time_fraction_pct,late_fraction_pct,shed_fraction_pct,normalized_network_waste
300,0.2,0.0,0.0,DA-BALS-EWMA,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,0.0,0.0,DA-BALS-EWMA-Cap,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,0.0,0.0,DA-BALS-EWMA-Decay,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,0.0,0.0,DA-BALS-Stabilized,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,0.0,0.5,DA-BALS-EWMA,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,0.0,0.5,DA-BALS-EWMA-Cap,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,0.0,0.5,DA-BALS-EWMA-Decay,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,0.0,0.5,DA-BALS-Stabilized,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,0.0,1.0,DA-BALS-EWMA,91,93.4065934065934,4.395604395604396,2.197802197802198,0.0
300,0.2,0.0,1.0,DA-BALS-EWMA-Cap,91,93.4065934065934,4.395604395604396,2.197802197802198,0.0
300,0.2,0.0,1.0,DA-BALS-EWMA-Decay,91,93.4065934065934,4.395604395604396,2.197802197802198,0.0
300,0.2,0.0,1.0,DA-BALS-Stabilized,91,93.4065934065934,4.395604395604396,2.197802197802198,0.0
300,0.2,10.0,0.0,DA-BALS-EWMA,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,10.0,0.0,DA-BALS-EWMA-Cap,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,10.0,0.0,DA-BALS-EWMA-Decay,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,10.0,0.0,DA-BALS-Stabilized,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,10.0,0.5,DA-BALS-EWMA,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,10.0,0.5,DA-BALS-EWMA-Cap,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,10.0,0.5,DA-BALS-EWMA-Decay,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,10.0,0.5,DA-BALS-Stabilized,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,10.0,1.0,DA-BALS-EWMA,91,92.3076923076923,4.395604395604396,3.296703296703297,0.0
300,0.2,10.0,1.0,DA-BALS-EWMA-Cap,91,92.3076923076923,4.395604395604396,3.296703296703297,0.0
300,0.2,10.0,1.0,DA-BALS-EWMA-Decay,91,93.4065934065934,4.395604395604396,2.197802197802198,0.0
300,0.2,10.0,1.0,DA-BALS-Stabilized,91,93.4065934065934,4.395604395604396,2.197802197802198,0.0
300,0.2,50.0,0.0,DA-BALS-EWMA,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,50.0,0.0,DA-BALS-EWMA-Cap,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,50.0,0.0,DA-BALS-EWMA-Decay,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,50.0,0.0,DA-BALS-Stabilized,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,50.0,0.5,DA-BALS-EWMA,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,50.0,0.5,DA-BALS-EWMA-Cap,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,50.0,0.5,DA-BALS-EWMA-Decay,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,50.0,0.5,DA-BALS-Stabilized,91,95.6043956043956,2.197802197802198,2.197802197802198,0.0
300,0.2,50.0,1.0,DA-BALS-EWMA,91,92.3076923076923,4.395604395604396,3.296703296703297,0.0
300,0.2,50.0,1.0,DA-BALS-EWMA-Cap,91,92.3076923076923,4.395604395604396,3.296703296703297,0.0
300,0.2,50.0,1.0,DA-BALS-EWMA-Decay,91,93.4065934065934,4.395604395604396,2.197802197802198,0.0
300,0.2,50.0,1.0,DA-BALS-Stabilized,91,93.4065934065934,4.395604395604396,2.197802197802198,0.0
300,0.4,0.0,0.0,DA-BALS-EWMA,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,0.0,0.0,DA-BALS-EWMA-Cap,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,0.0,0.0,DA-BALS-EWMA-Decay,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,0.0,0.0,DA-BALS-Stabilized,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,0.0,0.5,DA-BALS-EWMA,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,0.0,0.5,DA-BALS-EWMA-Cap,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,0.0,0.5,DA-BALS-EWMA-Decay,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,0.0,0.5,DA-BALS-Stabilized,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,0.0,1.0,DA-BALS-EWMA,175,92.57142857142857,2.2857142857142856,5.142857142857142,0.0
300,0.4,0.0,1.0,DA-BALS-EWMA-Cap,175,92.57142857142857,2.2857142857142856,5.142857142857142,0.0
300,0.4,0.0,1.0,DA-BALS-EWMA-Decay,175,93.14285714285714,2.2857142857142856,4.571428571428571,0.0
300,0.4,0.0,1.0,DA-BALS-Stabilized,175,93.14285714285714,2.2857142857142856,4.571428571428571,0.0
300,0.4,10.0,0.0,DA-BALS-EWMA,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,10.0,0.0,DA-BALS-EWMA-Cap,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,10.0,0.0,DA-BALS-EWMA-Decay,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,10.0,0.0,DA-BALS-Stabilized,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,10.0,0.5,DA-BALS-EWMA,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,10.0,0.5,DA-BALS-EWMA-Cap,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,10.0,0.5,DA-BALS-EWMA-Decay,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,10.0,0.5,DA-BALS-Stabilized,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,10.0,1.0,DA-BALS-EWMA,175,92.57142857142857,2.2857142857142856,5.142857142857142,0.0
300,0.4,10.0,1.0,DA-BALS-EWMA-Cap,175,92.57142857142857,2.2857142857142856,5.142857142857142,0.0
300,0.4,10.0,1.0,DA-BALS-EWMA-Decay,175,93.14285714285714,2.2857142857142856,4.571428571428571,0.0
300,0.4,10.0,1.0,DA-BALS-Stabilized,175,93.14285714285714,2.2857142857142856,4.571428571428571,0.0
300,0.4,50.0,0.0,DA-BALS-EWMA,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,50.0,0.0,DA-BALS-EWMA-Cap,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,50.0,0.0,DA-BALS-EWMA-Decay,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,50.0,0.0,DA-BALS-Stabilized,175,94.85714285714286,0.5714285714285714,4.571428571428571,0.0
300,0.4,50.0,0.5,DA-BALS-EWMA,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,50.0,0.5,DA-BALS-EWMA-Cap,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,50.0,0.5,DA-BALS-EWMA-Decay,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,50.0,0.5,DA-BALS-Stabilized,175,94.28571428571428,1.1428571428571428,4.571428571428571,0.0
300,0.4,50.0,1.0,DA-BALS-EWMA,175,92.57142857142857,2.2857142857142856,5.142857142857142,0.0
300,0.4,50.0,1.0,DA-BALS-EWMA-Cap,175,92.57142857142857,2.2857142857142856,5.142857142857142,0.0
300,0.4,50.0,1.0,DA-BALS-EWMA-Decay,175,93.14285714285714,2.2857142857142856,4.571428571428571,0.0
300,0.4,50.0,1.0,DA-BALS-Stabilized,175,93.14285714285714,2.2857142857142856,4.571428571428571,0.0
300,0.6,0.0,0.0,DA-BALS-EWMA,310,89.35483870967742,1.2903225806451613,9.35483870967742,0.0
300,0.6,0.0,0.0,DA-BALS-EWMA-Cap,310,89.35483870967742,1.2903225806451613,9.35483870967742,0.0
300,0.6,0.0,0.0,DA-BALS-EWMA-Decay,310,89.35483870967742,1.2903225806451613,9.35483870967742,0.0
300,0.6,0.0,0.0,DA-BALS-Stabilized,310,89.35483870967742,1.2903225806451613,9.35483870967742,0.0
300,0.6,0.0,0.5,DA-BALS-EWMA,310,89.03225806451613,1.2903225806451613,9.67741935483871,0.0
