load,tau_ms,cv,reduced_variant,pairs,mean_delta_pp,ci95_low_pp,ci95_high_pp,p_value,holm_p_value_global_162,holm_p_value_primary_3
0.4,10.0,1.0,DA-BALS-EWMA,30,0.09995005438568967,0.023377672347855386,0.17652243642352394,0.012309858978603852,1.0,
0.4,10.0,1.0,DA-BALS-EWMA-Cap,30,0.09995005438568967,0.023377672347855386,0.17652243642352394,0.012309858978603852,1.0,
0.4,10.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.4,50.0,0.0,DA-BALS-EWMA,30,0.052383187596912725,-0.007427651344640428,0.11219402653846589,0.08369775686031901,1.0,
0.4,50.0,0.0,DA-BALS-EWMA-Cap,30,0.052383187596912725,-0.007427651344640428,0.11219402653846589,0.08369775686031901,1.0,
0.4,50.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.4,50.0,0.5,DA-BALS-EWMA,30,0.08356392818671879,0.012432451644350306,0.15469540472908727,0.02289868609816308,1.0,
0.4,50.0,0.5,DA-BALS-EWMA-Cap,30,0.08356392818671879,0.012432451644350306,0.15469540472908727,0.02289868609816308,1.0,
0.4,50.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.4,50.0,1.0,DA-BALS-EWMA,30,0.09995005438568967,0.023377672347855386,0.17652243642352394,0.012309858978603852,1.0,
0.4,50.0,1.0,DA-BALS-EWMA-Cap,30,0.09995005438568967,0.023377672347855386,0.17652243642352394,0.012309858978603852,1.0,
0.4,50.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.6,0.0,0.0,DA-BALS-EWMA,30,0.06811538983141409,0.005939829616752185,0.130290950046076,0.03287706111379975,1.0,
0.6,0.0,0.0,DA-BALS-EWMA-Cap,30,0.06811538983141409,0.005939829616752185,0.130290950046076,0.03287706111379975,1.0,
0.6,0.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.6,0.0,0.5,DA-BALS-EWMA,30,0.032800221870368775,-0.016300935425117194,0.08190137916585474,0.18236498603517992,1.0,
0.6,0.0,0.5,DA-BALS-EWMA-Cap,30,0.032800221870368775,-0.016300935425117194,0.08190137916585474,0.18236498603517992,1.0,
0.6,0.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.6,0.0,1.0,DA-BALS-EWMA,30,0.0908981526496144,0.01688303756481782,0.16491326773441098,0.017833916641863536,1.0,
0.6,0.0,1.0,DA-BALS-EWMA-Cap,30,0.0908981526496144,0.01688303756481782,0.16491326773441098,0.017833916641863536,1.0,
0.6,0.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.6,10.0,0.0,DA-BALS-EWMA,30,0.06811538983141409,0.005939829616752185,0.130290950046076,0.03287706111379975,1.0,
0.6,10.0,0.0,DA-BALS-EWMA-Cap,30,0.06811538983141409,0.005939829616752185,0.130290950046076,0.03287706111379975,1.0,
0.6,10.0,0.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.6,10.0,0.5,DA-BALS-EWMA,30,0.032800221870368775,-0.016300935425117194,0.08190137916585474,0.18236498603517992,1.0,
0.6,10.0,0.5,DA-BALS-EWMA-Cap,30,0.032800221870368775,-0.016300935425117194,0.08190137916585474,0.18236498603517992,1.0,
0.6,10.0,0.5,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
0.6,10.0,1.0,DA-BALS-EWMA,30,0.1590653403059136,0.06105811864111478,0.25707256197071243,0.0024414324348358443,0.39551205444340676,
0.6,10.0,1.0,DA-BALS-EWMA-Cap,30,0.1590653403059136,0.06105811864111478,0.25707256197071243,0.0024414324348358443,0.39551205444340676,
0.6,10.0,1.0,DA-BALS-EWMA-Decay,30,0.0,0.0,0.0,1.0,1.0,
