replicate,seed,policy,trace_start,trace_end,requests,on_time_fraction_pct,late_fraction_pct,shed_fraction_pct,normalized_network_waste
9,508,DA-BALS-Adaptive,2023-11-16 18:27:10.0290390,2023-11-16 18:27:54.3192260,600,62.0,1.5,36.5,0.0
9,508,DA-BALS-Stabilized,2023-11-16 18:27:10.0290390,2023-11-16 18:27:54.3192260,600,64.66666666666666,2.3333333333333335,33.0,0.0
10,509,DA-BALS-NoMargin,2023-11-16 18:27:54.3797400,2023-11-16 18:29:29.0985340,600,63.66666666666667,5.5,30.833333333333336,0.0
10,509,DA-BALS-FixedMargin,2023-11-16 18:27:54.3797400,2023-11-16 18:29:29.0985340,600,62.83333333333333,2.833333333333333,34.333333333333336,0.0
10,509,DA-BALS-Adaptive,2023-11-16 18:27:54.3797400,2023-11-16 18:29:29.0985340,600,62.16666666666667,2.833333333333333,35.0,0.0
10,509,DA-BALS-Stabilized,2023-11-16 18:27:54.3797400,2023-11-16 18:29:29.0985340,600,63.66666666666667,4.666666666666667,31.666666666666664,0.0
11,510,DA-BALS-NoMargin,2023-11-16 18:29:29.3441090,2023-11-16 18:31:19.7663010,600,68.66666666666667,4.666666666666667,26.666666666666668,0.0
11,510,DA-BALS-FixedMargin,2023-11-16 18:29:29.3441090,2023-11-16 18:31:19.7663010,600,68.0,2.166666666666667,29.833333333333336,0.0
11,510,DA-BALS-Adaptive,2023-11-16 18:29:29.3441090,2023-11-16 18:31:19.7663010,600,66.5,1.6666666666666667,31.833333333333336,0.0
11,510,DA-BALS-Stabilized,2023-11-16 18:29:29.3441090,2023-11-16 18:31:19.7663010,600,68.33333333333333,4.0,27.666666666666668,0.0
12,511,DA-BALS-NoMargin,2023-11-16 18:31:19.7672840,2023-11-16 18:31:41.7278160,600,53.0,3.3333333333333335,43.666666666666664,0.0
12,511,DA-BALS-FixedMargin,2023-11-16 18:31:19.7672840,2023-11-16 18:31:41.7278160,600,52.0,1.3333333333333335,46.666666666666664,0.0
12,511,DA-BALS-Adaptive,2023-11-16 18:31:19.7672840,2023-11-16 18:31:41.7278160,600,52.0,1.0,47.0,0.0
12,511,DA-BALS-Stabilized,2023-11-16 18:31:19.7672840,2023-11-16 18:31:41.7278160,600,53.0,2.833333333333333,44.166666666666664,0.0
13,512,DA-BALS-NoMargin,2023-11-16 18:31:41.7368020,2023-11-16 18:32:35.1724040,600,60.5,2.5,37.0,0.0
13,512,DA-BALS-FixedMargin,2023-11-16 18:31:41.7368020,2023-11-16 18:32:35.1724040,600,59.833333333333336,1.3333333333333335,38.83333333333333,0.0
13,512,DA-BALS-Adaptive,2023-11-16 18:31:41.7368020,2023-11-16 18:32:35.1724040,600,59.5,1.1666666666666667,39.33333333333333,0.0
13,512,DA-BALS-Stabilized,2023-11-16 18:31:41.7368020,2023-11-16 18:32:35.1724040,600,61.33333333333333,1.6666666666666667,37.0,0.0
14,513,DA-BALS-NoMargin,2023-11-16 18:32:35.2389540,2023-11-16 18:34:25.8391030,600,71.83333333333334,3.6666666666666665,24.5,0.0
14,513,DA-BALS-FixedMargin,2023-11-16 18:32:35.2389540,2023-11-16 18:34:25.8391030,600,70.5,1.3333333333333335,28.166666666666668,0.0
14,513,DA-BALS-Adaptive,2023-11-16 18:32:35.2389540,2023-11-16 18:34:25.8391030,600,70.66666666666667,1.3333333333333335,28.000000000000004,0.0
14,513,DA-BALS-Stabilized,2023-11-16 18:32:35.2389540,2023-11-16 18:34:25.8391030,600,71.0,3.6666666666666665,25.333333333333336,0.0
15,514,DA-BALS-NoMargin,2023-11-16 18:34:25.8688430,2023-11-16 18:35:29.6032620,600,64.83333333333333,2.5,32.666666666666664,0.0
15,514,DA-BALS-FixedMargin,2023-11-16 18:34:25.8688430,2023-11-16 18:35:29.6032620,600,63.33333333333333,0.8333333333333334,35.833333333333336,0.0
15,514,DA-BALS-Adaptive,2023-11-16 18:34:25.8688430,2023-11-16 18:35:29.6032620,600,63.66666666666667,1.0,35.333333333333336,0.0
15,514,DA-BALS-Stabilized,2023-11-16 18:34:25.8688430,2023-11-16 18:35:29.6032620,600,64.33333333333333,2.3333333333333335,33.33333333333333,0.0
16,515,DA-BALS-NoMargin,2023-11-16 18:35:29.6341690,2023-11-16 18:36:33.4835870,600,61.0,5.666666666666666,33.33333333333333,0.0
16,515,DA-BALS-FixedMargin,2023-11-16 18:35:29.6341690,2023-11-16 18:36:33.4835870,600,61.16666666666667,2.166666666666667,36.666666666666664,0.0
16,515,DA-BALS-Adaptive,2023-11-16 18:35:29.6341690,2023-11-16 18:36:33.4835870,600,58.5,1.8333333333333333,39.666666666666664,0.0
16,515,DA-BALS-Stabilized,2023-11-16 18:35:29.6341690,2023-11-16 18:36:33.4835870,600,61.33333333333333,3.833333333333333,34.833333333333336,0.0
17,516,DA-BALS-NoMargin,2023-11-16 18:36:33.5216050,2023-11-16 18:37:15.7806080,600,61.66666666666667,3.0,35.333333333333336,0.0
17,516,DA-BALS-FixedMargin,2023-11-16 18:36:33.5216050,2023-11-16 18:37:15.7806080,600,61.16666666666667,1.0,37.833333333333336,0.0
17,516,DA-BALS-Adaptive,2023-11-16 18:36:33.5216050,2023-11-16 18:37:15.7806080,600,62.0,1.0,37.0,0.0
17,516,DA-BALS-Stabilized,2023-11-16 18:36:33.5216050,2023-11-16 18:37:15.7806080,600,62.0,2.5,35.5,0.0
18,517,DA-BALS-NoMargin,2023-11-16 18:37:15.7850500,2023-11-16 18:38:33.6714000,600,67.33333333333333,2.833333333333333,29.833333333333336,0.0
18,517,DA-BALS-FixedMargin,2023-11-16 18:37:15.7850500,2023-11-16 18:38:33.6714000,600,66.16666666666666,1.1666666666666667,32.666666666666664,0.0
18,517,DA-BALS-Adaptive,2023-11-16 18:37:15.7850500,2023-11-16 18:38:33.6714000,600,62.0,2.166666666666667,35.833333333333336,0.0
18,517,DA-BALS-Stabilized,2023-11-16 18:37:15.7850500,2023-11-16 18:38:33.6714000,600,67.66666666666666,2.166666666666667,30.166666666666668,0.0
19,518,DA-BALS-NoMargin,2023-11-16 18:38:33.7130060,2023-11-16 18:39:37.4264520,600,66.5,3.0,30.5,0.0
19,518,DA-BALS-FixedMargin,2023-11-16 18:38:33.7130060,2023-11-16 18:39:37.4264520,600,64.83333333333333,1.8333333333333333,33.33333333333333,0.0
19,518,DA-BALS-Adaptive,2023-11-16 18:38:33.7130060,2023-11-16 18:39:37.4264520,600,63.83333333333333,1.3333333333333335,34.833333333333336,0.0
19,518,DA-BALS-Stabilized,2023-11-16 18:38:33.7130060,2023-11-16 18:39:37.4264520,600,66.0,2.833333333333333,31.166666666666664,0.0
20,519,DA-BALS-NoMargin,2023-11-16 18:39:37.5432150,2023-11-16 18:40:33.0633130,600,63.33333333333333,2.666666666666667,34.0,0.0
20,519,DA-BALS-FixedMargin,2023-11-16 18:39:37.5432150,2023-11-16 18:40:33.0633130,600,60.333333333333336,1.6666666666666667,38.0,0.0
20,519,DA-BALS-Adaptive,2023-11-16 18:39:37.5432150,2023-11-16 18:40:33.0633130,600,59.166666666666664,1.1666666666666667,39.666666666666664,0.0
20,519,DA-BALS-Stabilized,2023-11-16 18:39:37.5432150,2023-11-16 18:40:33.0633130,600,63.16666666666667,1.8333333333333333,35.0,0.0
21,520,DA-BALS-NoMargin,2023-11-16 18:40:33.0635470,2023-11-16 18:41:05.6197740,600,57.49999999999999,3.833333333333333,38.666666666666664,0.0
21,520,DA-BALS-FixedMargin,2023-11-16 18:40:33.0635470,2023-11-16 18:41:05.6197740,600,56.99999999999999,1.8333333333333333,41.16666666666667,0.0
21,520,DA-BALS-Adaptive,2023-11-16 18:40:33.0635470,2023-11-16 18:41:05.6197740,600,54.666666666666664,1.3333333333333335,44.0,0.0
21,520,DA-BALS-Stabilized,2023-11-16 18:40:33.0635470,2023-11-16 18:41:05.6197740,600,57.666666666666664,2.833333333333333,39.5,0.0
22,521,DA-BALS-NoMargin,2023-11-16 18:41:05.6681530,2023-11-16 18:42:02.8874900,600,61.0,2.5,36.5,0.0
